case,n_cmd_g_p95,n_cmd_g_max,load_factor_fd_g_p95,load_factor_fd_g_max,a_cmd_norm_mps2_p95,body_rate_control_accel_norm_mps2_p95,body_rate_thrust_saturated_pct,frame_guard_active_pct,valid_pct,detected_pct
S 35m TTC hit,2.039432425955856,2.0394324259558565,0.846710739207494,1.041091051515207,20.0,24.292772970838882,14.388489208633093,97.84172661870504,83.45323741007195,81.29496402877699
Straight 35m TTC hit,0.6585255408491897,0.7318309513707926,0.6931871113799275,1.0615453006781217,6.457929495168706,10.223093167085683,1.4084507042253522,100.0,91.54929577464789,92.95774647887323
S 40m TTC miss,0.5015969409218914,2.0394324259558565,0.5565924543943781,0.9176678713936068,4.918985640691667,9.074648726146402,2.5089605734767026,25.806451612903224,23.297491039426525,21.50537634408602
Straight M05 40m TTC miss,0.5374055283848453,2.0394324259558565,0.5514404475299834,0.8728622491573338,5.270147924935244,8.83973565459689,0.0,30.824372759856633,27.24014336917563,27.956989247311824
