scenario,case,motion,algorithm,range_m,lateral_m,altitude_offset_m,intruder_speed_mps,hit,hit_t_s,near_hit,miss_distance_m,final_range_m,max_n_cmd_g,p95_n_cmd_g,max_actual_load_g,frames,detected_rate_pct,valid_rate_pct,detector_fps_mean,csv_path
matrix15,M08,straight/matrix,VM,40.0,-10.0,40.0,5.0,False,,False,1.5567316213619395,183.8797497828182,2.039432425955857,0.8604203871922249,0.9368750583752496,264,43.93939393939394,35.60606060606061,8.018336277865487,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_yolo_matrix15_20260701_202024_M08_r40_h40.csv
matrix15,M09,straight/matrix,VM,30.0,-10.0,30.0,3.0,True,12.204260349273682,True,1.1965368756763957,1.1965368756763957,2.039432425955857,1.5725803924432673,0.7085736112071028,86,94.18604651162791,97.67441860465117,8.293234824879413,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_yolo_matrix15_20260701_202024_M09_r30_h30.csv
matrix15,M10,straight/matrix,VM,30.0,-10.0,30.0,7.0,False,,False,2.9928464141069244,13.609635660747168,2.039432425955857,2.0394324259558565,1.1684464414036777,278,82.01438848920863,76.2589928057554,8.841915753569607,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_yolo_matrix15_20260701_202024_M10_r30_h30.csv
matrix15,M11,straight/matrix,VM,50.0,-10.0,30.0,3.0,True,16.263346910476685,True,1.1874565849244447,1.1874565849244447,2.0394324259558565,1.4420435573151968,0.7954950907614913,125,88.8,92.8,9.548505445430417,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_yolo_matrix15_20260701_202024_M11_r50_h30.csv
matrix15,M12,straight/matrix,VM,50.0,-10.0,30.0,7.0,False,,False,3.2980106855272164,64.37627996268047,2.039432425955857,1.9027968431272713,1.2202037470095453,277,54.151624548736464,54.51263537906137,8.664519999935957,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_yolo_matrix15_20260701_202024_M12_r50_h30.csv
matrix15,M13,straight/matrix,VM,45.0,-20.0,40.0,7.0,False,,False,3.636930065030261,49.80316352078058,2.0394324259558565,2.0394324259558565,1.5053154405015434,280,60.714285714285715,59.642857142857146,9.106383992383481,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_yolo_matrix15_20260701_202024_M13_r45_h40.csv
matrix15,M14,straight/matrix,VM,55.0,15.0,20.0,7.0,False,,False,9.417507633656705,47.66942164219514,2.0394324259558565,0.5406012092045394,1.2249711408025752,281,12.811387900355871,14.234875444839858,9.217119319482709,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_yolo_matrix15_20260701_202024_M14_r55_h20.csv
matrix15,M15,straight/matrix,VM,25.0,20.0,40.0,3.0,True,15.198324203491213,True,1.2870048372548335,1.4124421111890793,2.039432425955857,0.6812799424772233,0.7335753544895558,111,96.3963963963964,98.1981981981982,8.272761719771268,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_yolo_matrix15_20260701_202024_M15_r25_h40.csv
S-maneuver 30-50m,S30,sine_s,TTC,30.0,-10.0,30.0,5.0,True,19.401413917541504,False,1.5786132288908308,1.591273575919382,2.039432425955857,2.0183757746063336,1.0681862595862364,150,95.33333333333333,94.0,9.518427374584144,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_TTC_upward_baseline_s_maneuver_30_50_20260701_231523_r30_h30.csv
S-maneuver 30-50m,S35,sine_s,TTC,35.0,-10.0,30.0,5.0,True,18.363391637802124,True,1.3033087035339823,1.3033087035339823,2.0394324259558565,2.039432425955856,1.041091051515207,139,81.29496402877697,83.45323741007195,8.92262188118381,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_TTC_upward_baseline_s_maneuver_30_50_20260701_231523_r35_h30.csv
S-maneuver 30-50m,S40,sine_s,TTC,40.0,-10.0,30.0,5.0,False,,False,11.897531294516444,306.4911834491298,2.0394324259558565,0.5015969409218914,0.9176678713936068,279,21.50537634408602,23.29749103942652,8.990721132061672,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_TTC_upward_baseline_s_maneuver_30_50_20260701_231523_r40_h30.csv
S-maneuver 30-50m,S45,sine_s,TTC,45.0,-10.0,30.0,5.0,False,,False,2.779237730816334,54.57402024218933,2.0394324259558565,1.9420028322548286,1.1090220186445805,269,60.22304832713755,54.27509293680298,8.55669023222208,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_TTC_upward_baseline_s_maneuver_30_50_20260701_231523_r45_h30.csv
S-maneuver 30-50m,S50,sine_s,TTC,50.0,-10.0,30.0,5.0,False,,False,2.5381523656891,219.677770061228,2.0394324259558565,2.0156115506165695,0.9582839149557332,279,43.01075268817204,45.878136200716845,9.254799530918126,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_TTC_upward_baseline_s_maneuver_30_50_20260701_231523_r50_h30.csv
S-maneuver 30-50m,S30,sine_s,VM,30.0,-10.0,30.0,5.0,False,,False,4.944827605797347,143.0736217867693,2.0394324259558565,1.082792950918276,0.8952865141903182,279,26.523297491039425,25.089605734767026,9.260451848298318,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_baseline_s_maneuver_30_50_20260701_231523_r30_h30.csv
S-maneuver 30-50m,S35,sine_s,VM,35.0,-10.0,30.0,5.0,False,,False,5.6012272531579566,112.8729551183064,2.039432425955857,0.9735279651757325,0.9856706459938538,279,27.956989247311828,26.881720430107528,8.976692921047391,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_baseline_s_maneuver_30_50_20260701_231523_r35_h30.csv
S-maneuver 30-50m,S40,sine_s,VM,40.0,-10.0,30.0,5.0,False,,False,3.929754725734124,119.61559424311568,2.0394324259558565,1.051780454195913,0.8332275500436876,278,29.496402877697843,26.97841726618705,9.121018164914842,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_baseline_s_maneuver_30_50_20260701_231523_r40_h30.csv
S-maneuver 30-50m,S45,sine_s,VM,45.0,-10.0,30.0,5.0,False,,False,4.219214645076069,86.41935209617742,2.039432425955857,0.7208308120207036,0.9291197106205992,281,35.587188612099645,35.587188612099645,9.073880128764747,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_baseline_s_maneuver_30_50_20260701_231523_r45_h30.csv
S-maneuver 30-50m,S50,sine_s,VM,50.0,-10.0,30.0,5.0,False,,False,3.007003385689006,99.2886119240218,1.7791883841672778,0.7000130413820175,0.8013844224856831,280,31.785714285714285,32.857142857142854,9.255881926831455,/home/linux/Documents/PNG-px4-upward-camera/logs/yolo_sitl_ttc_vm/yolo_sitl_VM_upward_baseline_s_maneuver_30_50_20260701_231523_r50_h30.csv
